compensation_tier,pay_type,employment_type,headcount,total_payroll,median_comp
1_Under_50K,HOURLY,F,129,5052216.0,40040.0
1_Under_50K,HOURLY,P,878,17299885.2,19344.0
1_Under_50K,SALARY,F,239,10488957.6,46824.0
2_50K-75K,HOURLY,F,639,41442003.2,64604.8
2_50K-75K,HOURLY,P,3,192857.59999999998,67340.0
2_50K-75K,SALARY,F,2347,153255252.48,64488.0
3_75K-100K,HOURLY,F,730,69721017.6,99403.2
3_75K-100K,HOURLY,P,6,461760.0,76960.0
3_75K-100K,SALARY,F,3787,336784254.0,90816.0
4_100K-125K,HOURLY,F,3438,369428030.4,106912.0
4_100K-125K,SALARY,F,10296,1168328490.72,112326.0
5_125K-150K,HOURLY,F,1119,147177160.0,130540.8
5_125K-150K,SALARY,F,5810,788307057.0,134916.0
6_150K_Plus,SALARY,F,2563,428677451.28,161232.0
